Track 0: 
<meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>
<meta message set_tempo tempo=600000 time=0>
<meta message end_of_track time=0>
Track 1: Electric Piano
<meta message track_name name='Electric Piano' time=0>
program_change channel=0 program=0 time=0
note_on channel=0 note=61 velocity=50 time=0
note_on channel=0 note=45 velocity=50 time=0
note_off channel=0 note=61 velocity=0 time=96
note_off channel=0 note=45 velocity=0 time=0
note_on channel=0 note=52 velocity=50 time=96
note_off channel=0 note=52 velocity=0 time=96
note_on channel=0 note=61 velocity=50 time=96
note_on channel=0 note=64 velocity=50 time=0
note_on channel=0 note=57 velocity=50 time=0
note_off channel=0 note=61 velocity=0 time=96
note_off channel=0 note=64 velocity=0 time=0
note_off channel=0 note=57 velocity=0 time=0
note_on channel=0 note=52 velocity=50 time=96
note_off channel=0 note=52 velocity=0 time=96
note_on channel=0 note=49 velocity=50 time=96
note_off channel=0 note=49 velocity=0 time=96
note_on channel=0 note=52 velocity=50 time=96
note_off channel=0 note=52 velocity=0 time=96
note_on channel=0 note=57 velocity=50 time=96
note_on channel=0 note=64 velocity=50 time=0
note_on channel=0 note=69 velocity=50 time=0
note_on channel=0 note=61 velocity=50 time=0
note_off channel=0 note=57 velocity=0 time=96
note_off channel=0 note=64 velocity=0 time=0
note_off channel=0 note=69 velocity=0 time=0
note_off channel=0 note=61 velocity=0 time=0
note_on channel=0 note=52 velocity=50 time=96
note_off channel=0 note=52 velocity=0 time=96
note_on channel=0 note=62 velocity=50 time=96
note_on channel=0 note=47 velocity=50 time=0
note_on channel=0 note=64 velocity=50 time=0
note_on channel=0 note=69 velocity=50 time=0
note_off channel=0 note=69 velocity=0 time=96
note_off channel=0 note=47 velocity=0 time=0
note_off channel=0 note=62 velocity=0 time=0
note_off channel=0 note=64 velocity=0 time=0
note_on channel=0 note=52 velocity=50 time=96
note_off channel=0 note=52 velocity=0 time=96
note_on channel=0 note=68 velocity=50 time=96
note_on channel=0 note=56 velocity=50 time=0
note_off channel=0 note=68 velocity=0 time=96
note_off channel=0 note=56 velocity=0 time=0
note_on channel=0 note=52 velocity=50 time=96
note_off channel=0 note=52 velocity=0 time=96
