Track 6:
<meta message midi_port port=0 time=0>
program_change channel=4 program=48 time=0
control_change channel=4 control=7 value=70 time=0
control_change channel=4 control=10 value=87 time=0
control_change channel=4 control=121 value=0 time=8
control_change channel=4 control=101 value=0 time=28
control_change channel=4 control=100 value=0 time=0
control_change channel=4 control=6 value=12 time=0
control_change channel=4 control=38 value=0 time=0
control_change channel=4 control=93 value=70 time=2
control_change channel=4 control=91 value=40 time=1
note_on channel=4 note=78 velocity=67 time=32985
note_on channel=4 note=55 velocity=84 time=0
note_on channel=4 note=40 velocity=81 time=0
note_on channel=4 note=69 velocity=93 time=6
note_on channel=4 note=67 velocity=90 time=381
note_on channel=4 note=69 velocity=0 time=19
note_on channel=4 note=76 velocity=40 time=363
note_on channel=4 note=66 velocity=96 time=12
note_on channel=4 note=67 velocity=0 time=15
note_on channel=4 note=78 velocity=0 time=2
note_on channel=4 note=71 velocity=71 time=328
note_on channel=4 note=76 velocity=0 time=30
note_on channel=4 note=64 velocity=93 time=0
note_on channel=4 note=66 velocity=0 time=19
note_on channel=4 note=74 velocity=64 time=346
note_on channel=4 note=69 velocity=101 time=6
note_on channel=4 note=64 velocity=0 time=2
note_on channel=4 note=36 velocity=93 time=2
note_on channel=4 note=71 velocity=0 time=8
note_on channel=4 note=52 velocity=38 time=5
note_on channel=4 note=55 velocity=0 time=20
note_on channel=4 note=40 velocity=0 time=4
note_on channel=4 note=72 velocity=53 time=732
note_on channel=4 note=69 velocity=0 time=1
note_on channel=4 note=67 velocity=93 time=5
note_on channel=4 note=74 velocity=0 time=29
note_on channel=4 note=76 velocity=16 time=328
note_on channel=4 note=72 velocity=0 time=16
note_on channel=4 note=66 velocity=99 time=386
note_on channel=4 note=71 velocity=40 time=4
note_on channel=4 note=67 velocity=0 time=1
note_on channel=4 note=55 velocity=74 time=5
note_on channel=4 note=40 velocity=82 time=2
note_on channel=4 note=36 velocity=0 time=9
note_on channel=4 note=52 velocity=0 time=11
note_on channel=4 note=76 velocity=0 time=7
note_on channel=4 note=65 velocity=90 time=332
note_on channel=4 note=66 velocity=0 time=17
note_on channel=4 note=64 velocity=96 time=375
note_on channel=4 note=65 velocity=0 time=14
note_on channel=4 note=63 velocity=96 time=358
note_on channel=4 note=64 velocity=0 time=10
note_on channel=4 note=62 velocity=85 time=382
note_on channel=4 note=63 velocity=0 time=1
note_on channel=4 note=58 velocity=88 time=17
note_on channel=4 note=36 velocity=76 time=2
note_on channel=4 note=40 velocity=0 time=10
note_on channel=4 note=55 velocity=0 time=6
note_on channel=4 note=70 velocity=96 time=24
note_on channel=4 note=71 velocity=0 time=19
note_on channel=4 note=60 velocity=79 time=517
note_on channel=4 note=62 velocity=0 time=16
note_on channel=4 note=62 velocity=101 time=164
note_on channel=4 note=60 velocity=0 time=6
note_on channel=4 note=57 velocity=74 time=10
note_on channel=4 note=69 velocity=59 time=3
note_on channel=4 note=58 velocity=0 time=13
note_on channel=4 note=70 velocity=0 time=9
note_on channel=4 note=55 velocity=82 time=331
